Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) ",,,thresholds_reached
189/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,4/8/21,0.0,0.0,0.0,0.0,ND,ND,200,,,0
190/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,4/11/21,0.0,0.0,0.0,600.0,ND,ND,ND,,,0
191/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,4/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
192/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,4/12/21,0.0,0.0,0.0,880.0,ND,ND,ND,,,0
193/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,4/13/21,0.0,40.0,0.0,960.0,ND,ND,ND,,,0
194/21,The Wash,B003V,Boston BC,TF44234098,Toft,4/12/21,0.0,0.0,0.0,2400.0,ND,ND,ND,,,0
195/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,4/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
196/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,4/12/21,0.0,0.0,0.0,3200.0,ND,ND,ND,,,0
197/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,4/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
198/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,4/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
199/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,4/13/21,0.0,0.0,0.0,160.0,ND,ND,ND,,,0
200/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,4/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
201/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,4/13/21,0.0,0.0,0.0,1080.0,ND,ND,ND,,,0
202/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,4/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
203/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,4/13/21,-1.0,-1.0,-1.0,-1.0,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,,0
204/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,4/12/21,-1.0,-1.0,-1.0,-1.0,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,,0
205/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,4/13/21,0.0,0.0,0.0,200.0,ND,ND,ND,,,0
206/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,4/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
207/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,4/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
208/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,4/13/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
209/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,4/12/21,0.0,0.0,0.0,160.0,ND,ND,ND,,,0
210/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,4/12/21,0.0,0.0,0.0,840.0,ND,ND,ND,,,0
211/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,4/14/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
212/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,4/14/21,0.0,0.0,0.0,200.0,ND,ND,ND,,,0
213/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,4/14/21,0.0,0.0,0.0,560.0,ND,ND,ND,,,0
214/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,4/14/21,0.0,0.0,0.0,640.0,ND,ND,ND,,,0
215/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,4/14/21,0.0,0.0,0.0,320.0,ND,ND,ND,,,0
216/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,4/14/21,0.0,0.0,0.0,320.0,ND,ND,ND,,,0
217/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,4/15/21,0.0,0.0,0.0,3800.0,ND,ND,ND,,,0
219/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,4/19/21,0.0,0.0,0.0,2360.0,ND,ND,ND,,,0
220/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,4/19/21,0.0,0.0,0.0,840.0,ND,ND,ND,,,0
221/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,4/19/21,0.0,80.0,0.0,0.0,ND,ND,ND,,,0
222/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,4/19/21,0.0,0.0,0.0,4600.0,ND,ND,ND,,,0
223/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,4/18/21,0.0,0.0,0.0,8760.0,ND,ND,ND,,,0
224/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,4/19/21,0.0,0.0,0.0,3480.0,ND,ND,ND,,,0
225/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,4/19/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
226/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,4/19/21,0.0,0.0,0.0,120.0,ND,ND,ND,,,0
227/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,4/19/21,0.0,0.0,0.0,3600.0,ND,ND,ND,,,0
228/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,4/20/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
229/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,4/20/21,0.0,0.0,0.0,80.0,ND,ND,ND,,,0
230/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,4/20/21,0.0,0.0,0.0,320.0,ND,ND,ND,,,0
231/21,Portland,B25AK,Dorset Council,SY68707757,Site A,4/19/21,0.0,0.0,0.0,1920.0,ND,ND,ND,,,0
232/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,4/20/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
233/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,4/20/21,0.0,0.0,0.0,800.0,ND,ND,ND,,,0
234/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,4/20/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
235/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,4/21/21,0.0,0.0,0.0,1760.0,ND,ND,ND,,,0
236/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,4/26/21,0.0,0.0,0.0,280.0,ND,ND,ND,,,0
237/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,4/26/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
238/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,4/26/21,0.0,40.0,0.0,1960.0,ND,ND,ND,,,0
239/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,4/26/21,0.0,0.0,0.0,5600.0,ND,ND,ND,,,0
241/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,4/26/21,0.0,0.0,0.0,4280.0,ND,ND,ND,,,0
242/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,4/27/21,0.0,80.0,0.0,3960.0,ND,ND,ND,,,0
243/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,4/27/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
244/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,4/27/21,0.0,0.0,0.0,8100.0,ND,ND,ND,,,0
245/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,4/27/21,0.0,0.0,0.0,10300.0,ND,ND,ND,,,0
246/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,4/27/21,0.0,0.0,0.0,3000.0,ND,ND,ND,,,0
247/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,4/27/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
248/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,4/26/21,0.0,0.0,0.0,1480.0,ND,ND,ND,,,0
249/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,4/27/21,0.0,40.0,0.0,720.0,ND,ND,ND,,,0
250/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,4/27/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
251/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,4/28/21,0.0,0.0,0.0,2080.0,ND,ND,ND,,,0
252/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,4/27/21,0.0,0.0,0.0,8600.0,ND,ND,ND,,,0
253/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,4/28/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
254/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,4/28/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
255/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,4/28/21,100.0,0.0,0.0,185500.0,ND,ND,ND,,,1
256/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,4/28/21,0.0,0.0,0.0,60900.0,ND,ND,ND,,,0
257/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,4/28/21,0.0,0.0,0.0,0.0,ND,ND,40,,,0
258/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,4/28/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
259/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,4/28/21,0.0,0.0,0.0,0.0,720,ND,ND,,,0
260/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,4/29/21,0.0,0.0,0.0,1800.0,ND,ND,ND,,,0
261/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,5/4/21,0.0,0.0,0.0,200.0,300,ND,200,,,0
262/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,5/4/21,0.0,0.0,0.0,0.0,ND,ND,100,,,0
263/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,5/4/21,100.0,0.0,0.0,0.0,ND,ND,ND,,,1
264/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,5/4/21,0.0,0.0,0.0,6280.0,ND,ND,ND,,,0
265/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,5/4/21,0.0,0.0,0.0,4600.0,ND,ND,ND,,,0
266/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,5/4/21,-1.0,-1.0,-1.0,-1.0,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,,0
267/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,5/4/21,0.0,0.0,0.0,2900.0,ND,ND,ND,,,0
268/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,5/4/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
270/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,5/5/21,0.0,0.0,0.0,1900.0,ND,ND,ND,,,0
271/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,5/5/21,0.0,0.0,0.0,2000.0,ND,ND,ND,,,0
272/21,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,5/5/21,0.0,0.0,0.0,1840.0,ND,ND,ND,,,0
273/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,5/5/21,0.0,80.0,0.0,2280.0,ND,ND,ND,,,0
274/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,5/5/21,0.0,0.0,0.0,7080.0,ND,ND,ND,,,0
275/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,5/5/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
276/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,5/5/21,0.0,0.0,0.0,80.0,ND,ND,ND,,,0
277/21,The Wash,B003V,Boston BC,TF44234098,Toft,5/10/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
278/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,5/10/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
279/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,5/10/21,200.0,0.0,0.0,1000.0,ND,ND,ND,,,1
280/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,5/10/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
281/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,5/10/21,0.0,0.0,0.0,13080.0,ND,ND,ND,,,0
282/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,5/10/21,0.0,0.0,0.0,17400.0,ND,ND,ND,,,0
283/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,5/10/21,0.0,0.0,0.0,13720.0,ND,ND,ND,,,0
284/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,5/10/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
285/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,5/10/21,0.0,0.0,0.0,80.0,ND,ND,ND,,,0
286/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,5/10/21,0.0,0.0,0.0,400.0,ND,ND,40,,,0
287/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,5/10/21,0.0,0.0,0.0,200.0,ND,ND,ND,,,0
288/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,5/11/21,0.0,0.0,0.0,11300.0,ND,ND,ND,,,0
289/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,5/11/21,0.0,0.0,40.0,0.0,ND,ND,ND,,,0
290/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,5/11/21,0.0,0.0,0.0,240.0,ND,ND,ND,,,0
291/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,5/11/21,0.0,0.0,0.0,8300.0,ND,ND,ND,,,0
292/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,5/11/21,0.0,0.0,0.0,2100.0,ND,ND,ND,,,0
293/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,5/11/21,0.0,0.0,40.0,360.0,ND,ND,ND,,,0
294/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,5/11/21,0.0,0.0,0.0,800.0,ND,ND,ND,,,0
295/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,5/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
296/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,5/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
297/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,5/11/21,0.0,0.0,0.0,1200.0,ND,ND,ND,,,0
298/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,5/11/21,0.0,0.0,0.0,4800.0,ND,ND,ND,,,0
299/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,5/11/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
300/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,5/12/21,0.0,0.0,0.0,1120.0,ND,ND,ND,,,0
301/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,5/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
302/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,5/11/21,0.0,0.0,0.0,66400.0,ND,ND,200,,,0
303/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,5/12/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
304/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,5/12/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
305/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,5/12/21,0.0,0.0,0.0,152900.0,ND,ND,100,,,1
306/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,5/12/21,0.0,0.0,0.0,71400.0,ND,ND,ND,,,0
307/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,5/13/21,0.0,0.0,0.0,800.0,ND,ND,ND,,,0
308/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,5/12/21,100.0,0.0,0.0,0.0,ND,ND,ND,,,1
309/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,5/17/21,0.0,0.0,0.0,13520.0,ND,ND,ND,,,0
310/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,5/17/21,0.0,0.0,0.0,42120.0,ND,ND,ND,,,0
311/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,5/17/21,0.0,40.0,0.0,38520.0,ND,ND,ND,,,0
312/21,Portland,B25AK,Dorset Council,SY68707757,Site A,5/17/21,0.0,0.0,0.0,800.0,ND,ND,ND,,,0
313/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,5/17/21,40.0,0.0,0.0,1640.0,ND,ND,80,,,1
314/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,5/17/21,0.0,0.0,0.0,1300.0,ND,ND,ND,,,0
315/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,5/18/21,0.0,0.0,0.0,6440.0,ND,ND,280,,,0
316/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,5/18/21,0.0,0.0,0.0,4800.0,ND,ND,160,,,0
317/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,5/18/21,0.0,0.0,0.0,3280.0,ND,ND,80,,,0
318/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,5/17/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
319/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,5/18/21,0.0,0.0,0.0,2000.0,ND,ND,ND,,,0
320/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,5/18/21,0.0,0.0,0.0,400.0,ND,ND,ND,,,0
321/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,5/18/21,0.0,0.0,0.0,1900.0,ND,ND,ND,,,0
322/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,5/18/21,0.0,40.0,0.0,13680.0,ND,ND,ND,,,0
323/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,5/18/21,0.0,0.0,0.0,252000.0,ND,ND,ND,,,1
324/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,5/19/21,0.0,0.0,0.0,18400.0,ND,ND,ND,,,0
325/21,Swale,B076P,Swale BC,TR01316497,The Causeway,5/19/21,0.0,0.0,0.0,1800.0,ND,ND,ND,,,0
326/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,5/19/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
328/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,5/24/21,0.0,0.0,0.0,1600.0,ND,ND,ND,,,0
330/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,5/24/21,0.0,0.0,0.0,8000.0,ND,ND,ND,,,0
331/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,5/24/21,0.0,0.0,0.0,1300.0,ND,ND,ND,,,0
332/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,5/24/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
333/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,5/24/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
334/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,5/24/21,0.0,0.0,0.0,1360.0,ND,ND,ND,,,0
335/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,5/25/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
336/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,5/24/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
337/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,5/25/21,0.0,0.0,0.0,5800.0,ND,ND,ND,,,0
338/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,5/25/21,0.0,0.0,0.0,760.0,ND,ND,ND,,,0
339/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,5/24/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
340/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,5/24/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
341/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,5/26/21,0.0,0.0,0.0,7560.0,ND,ND,ND,,,0
342/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,5/26/21,0.0,0.0,0.0,27800.0,ND,ND,ND,,,0
343/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,5/26/21,0.0,0.0,0.0,3200.0,ND,ND,100,,,0
344/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,5/26/21,0.0,0.0,0.0,1300.0,ND,ND,ND,,,0
345/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,5/26/21,0.0,0.0,0.0,600.0,ND,ND,ND,,,0
346/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,5/26/21,0.0,0.0,0.0,1600.0,ND,ND,ND,,,0
347/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,5/26/21,0.0,0.0,0.0,3800.0,ND,ND,ND,,,0
348/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,5/26/21,0.0,0.0,0.0,1800.0,ND,ND,ND,,,0
349/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,5/26/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
350/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,5/26/21,0.0,0.0,0.0,289400.0,ND,ND,ND,,,1
351/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,5/26/21,0.0,0.0,0.0,68760.0,ND,ND,ND,,,0
352/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,5/26/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
353/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,5/26/21,0.0,160.0,0.0,15280.0,ND,ND,ND,,,1
354/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,5/25/21,40.0,160.0,0.0,23000.0,ND,ND,ND,,,1
355/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,5/27/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
356/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,5/27/21,0.0,0.0,0.0,34600.0,ND,ND,ND,,,0
357/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,5/27/21,0.0,0.0,0.0,60000.0,ND,ND,ND,,,0
358/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,5/27/21,0.0,0.0,0.0,43000.0,ND,ND,ND,,,0
359/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,6/1/21,0.0,0.0,0.0,6640.0,ND,ND,200,,,0
360/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,6/1/21,0.0,0.0,0.0,8800.0,ND,ND,ND,,,0
361/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,6/1/21,0.0,40.0,0.0,16600.0,ND,ND,ND,,,0
362/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,6/1/21,120.0,520.0,0.0,17120.0,ND,ND,ND,,,1
363/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,6/1/21,0.0,240.0,0.0,6320.0,ND,ND,240,,,1
364/21,Portland,B25AK,Dorset Council,SY68707757,Site A,6/1/21,0.0,0.0,0.0,560.0,ND,ND,ND,,,0
365/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,6/1/21,0.0,0.0,0.0,48400.0,ND,ND,200,,,0
366/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,6/1/21,0.0,0.0,0.0,1100.0,ND,ND,ND,,,0
367/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,6/1/21,80.0,160.0,0.0,252000.0,ND,ND,40,,,1
368/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,5/31/21,0.0,240.0,0.0,162000.0,ND,ND,ND,,,1
369/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,6/1/21,0.0,0.0,0.0,24600.0,ND,ND,ND,,,0
370/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,6/2/21,0.0,0.0,0.0,4200.0,ND,ND,ND,,,0
371/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,6/2/21,40.0,0.0,40.0,8920.0,ND,ND,40,,,1
372/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,6/2/21,320.0,320.0,0.0,16320.0,ND,ND,ND,,,1
373/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,6/3/21,0.0,0.0,0.0,600.0,ND,ND,ND,,,0
374/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,6/3/21,0.0,0.0,0.0,0.0,ND,ND,ND,,,0
375/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,6/7/21,0.0,200.0,0.0,1680.0,ND,ND,ND,,,1
376/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,6/7/21,0.0,280.0,0.0,520.0,ND,ND,ND,,,1
377/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,6/7/21,0.0,0.0,0.0,840.0,ND,ND,ND,,,0
378/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,6/7/21,0.0,0.0,0.0,220.0,ND,ND,ND,,,0
379/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,6/7/21,0.0,0.0,0.0,2840.0,ND,ND,ND,,,0
